x, y
0.0007309941520467836, 150.92411309957868
0.007309941520467836, 140.4351659334292
0.015350877192982455, 137.57449906043485
0.02266081871345029, 137.57449906043485
0.029970760233918127, 134.77210402344303
0.03654970760233918, 134.77210402344303
0.043859649122807015, 129.33740564322633
0.049707602339181284, 121.59349743423007
0.056286549707602336, 114.31324561335391
0.06359649122807018, 109.70355271530337
0.06944444444444445, 105.27974613777783
0.07602339181286549, 98.976258865068
0.08333333333333333, 94.98503146952096
0.0891812865497076, 93.05018465854492
0.09576023391812866, 87.47892640388656
0.1023391812865497, 82.2412399594723
0.10891812865497075, 77.31715314890977
0.11695906432748537, 72.68788960377834
0.125, 69.75674329012945
0.13304093567251463, 66.943795740523
0.1388888888888889, 62.93562341946675
0.14546783625730994, 60.39773820105237
0.15204678362573099, 57.96219345424845
0.1593567251461988, 53.381784234277625
0.16520467836257308, 51.22915852279775
0.17251461988304093, 49.16333765533338
0.17909356725146197, 46.21974703545512
0.18567251461988304, 44.35593118003212
0.1922514619883041, 41.70017774293114
0.1995614035087719, 38.40485941170011
0.20614035087719296, 36.105418622822754
0.21271929824561403, 33.94365384741212
0.22002923976608185, 31.911321914008536
0.2273391812865497, 30.000673200275394
0.23391812865497075, 28.20442208239012
0.24122807017543857, 26.515719153739298
0.24853801169590642, 24.928125106983078
0.25511695906432746, 23.435586179896895
0.2624269005847953, 22.03241107136132
0.26973684210526316, 20.291319977403525
0.2777777777777778, 19.076403700376638
0.2843567251461988, 17.211029398135732
0.2909356725146199, 16.18054149574847
0.2982456140350877, 15.2117527103868
0.3055555555555555, 14.300968888016582
0.3114035087719298, 13.170847927344314
0.3187134502923976, 12.63973218632741
0.3252923976608187, 11.640888933614507
0.3326023391812865, 10.72097835358665
0.3391812865497076, 10.079073779516058
0.3472222222222222, 9.282584210761172
0.35526315789473684, 8.374892471945685
0.36330409356725146, 7.55595880674495
0.37207602339181284, 6.958856086478632
0.38084795321637427, 6.542203668678047
0.38961988304093564, 6.02521201917132
0.39692982456140347, 5.664460320278346
0.40350877192982454, 5.216831534496771
0.4100877192982456, 4.904480561133515
0.41812865497076024, 4.610831194275248
0.4261695906432748, 4.1599639261642265
0.4334795321637427, 3.9108915202601384
0.4400584795321637, 3.6767319992954284
0.44809941520467833, 3.3861816224842456
0.45540935672514615, 3.055065953068117
0.46271929824561403, 2.872147869971186
0.47002923976608185, 2.7001817681531715
0.4780701754385965, 2.486802378427205
0.4853801169590643, 2.290285099429053
0.4948830409356725, 2.1092974183112374
0.5021929824561403, 1.9830059907722284
0.5102339181286549, 1.8263007596190972
0.5190058479532164, 1.7169533873397842
0.527046783625731, 1.5812727193568008
0.5343567251461988, 1.486596080907232
0.5423976608187134, 1.3691191879608888
0.5489766081871345, 1.313909321742281
0.5562865497076023, 1.2100788416852355
0.5643274853801169, 1.1376269517694297
0.5723684210526315, 1.0695130241181832
0.5804093567251462, 1.0054773289076
0.5884502923976608, 0.9260204044308664
0.5972222222222222, 0.8705761423791654
0.60453216374269, 0.801779660541608
0.6125730994152047, 0.7537741507341709
0.6206140350877193, 0.6942078392466026
0.6279239766081871, 0.6526430517177686
0.6352339181286549, 0.6135669015460006
0.6432748538011696, 0.5768303848204597
0.6505847953216374, 0.542293419044824
0.658625730994152, 0.5098243089792488
0.6659356725146198, 0.47929924446434136
0.6739766081871345, 0.45060182831226864
0.6812865497076023, 0.4236226324647691
0.6893274853801169, 0.39825878072562354
0.6973684210526315, 0.3744135564764737
0.7054093567251462, 0.35199603388014433
0.7141812865497076, 0.33092073116518433
0.722953216374269, 0.3111072846695431
0.7317251461988303, 0.29248014240045606
0.7404970760233918, 0.2806858518262522
0.7485380116959064, 0.2638801531090362
0.7558479532163742, 0.2532391599223191
0.7638888888888888, 0.2380767960291443
0.7711988304093567, 0.22382225886742593
0.7777777777777777, 0.21479660421480096
0.7838084795321637, 0.2019359381269728
0.7896564327485379, 0.1898452876212216
0.7969663742690059, 0.1784785490204445
0.8042763157894737, 0.16779237904497968
0.8123172514619883, 0.1577460295374157
0.8196271929824561, 0.1483011920830367
0.8269371345029239, 0.13942185193341539
0.8342470760233918, 0.1310741506761405
0.8422880116959064, 0.11825714616105486
0.8495979532163742, 0.10891198355896851
0.856907894736842, 0.10030531386741214
0.8649488304093567, 0.09049702097294032
0.8729897660818713, 0.08164782591480967
0.8802997076023391, 0.07519568129564572
0.8868786549707602, 0.06925341149213261
0.8927266081871345, 0.06248150960910693
0.8985745614035088, 0.05637179395092212
0.9066154970760233, 0.050859513048353795
0.9131944444444444, 0.04495154342982241
0.9197733918128654, 0.03972985849868678
0.9270833333333333, 0.03369873243170695
0.9336622807017544, 0.029784202475427964
0.9402412280701754, 0.024748255499558853
0.9468201754385964, 0.020991387126604547
0.9526681286549707, 0.01780482400090112
0.9577850877192982, 0.014197779833539603
0.9629020467836257, 0.011556893762955977
0.9672880116959064, 0.009802518442706985
0.9705774853801169, 0.007979181645299416
0.973501461988304, 0.006362694977835655
0.9764254385964912, 0.0049703380152181335
0.9800804093567251, 0.0038826723694251296
0.9822733918128654, 0.003033022036356565
0.9844663742690057, 0.0023210390893564766
0.9866593567251462, 0.001813123033686584
0.9881213450292398, 0.0013875037452924122
0.9895833333333333, 0.0011121193550400104
0.9910453216374269, 0.0008687528047581368
0.9917763157894737, 0.0006786424787544288
0.9932383040935672, 0.0005301342469889066
0.9932383040935672, 0.00041412426812173064
0.993969298245614, 0.00032350090646180753
0.9947002923976608, 0.0002527087749681184
0.9954312865497076, 0.00019740817929802805
